file,nodes,edges,cyclomatic_complexity,weakly_connected_components,scc_count,density,avg_betweenness,max_betweenness,avg_in_degree,avg_out_degree,max_in_degree,max_out_degree,leaf_nodes,root_nodes,complexity_per_node,edge_to_node_ratio,scc_to_node_ratio,leaf_ratio,label,category
001eea6e562d6b9289139b8565e41f7eaf4f8c03e2a807769bedfa01b0c1aad2,276,265,77,44,243,0.003491,0.001272,0.028212,0.9601,0.9601,11,2,84,61,0.278985,0.960145,0.880435,0.304348,1,malware
00ad5a2bdbb34c0c7d08687008314fd20c535efc6b2168e72ae35fda3e372c9e,4194,4104,1058,574,3908,0.000233,1.2e-05,0.001269,0.9785,0.9785,148,2,1369,1012,0.252265,0.978541,0.931807,0.326419,1,malware
01128c205c13352f69868b67871cf9076284bbafbba4605efcb31961f1ed68db,8326,13733,5435,14,6972,0.000198,0.000161,0.013733,1.6494,1.6494,175,32,956,213,0.652774,1.649411,0.837377,0.114821,1,malware
011b6ad4917c91308bf9e1f6b7ce13df1a880a330694945b25fd6b86d88e64be,3741,5935,2214,10,2934,0.000424,0.000836,0.03402,1.5865,1.5865,42,49,416,198,0.59182,1.586474,0.784282,0.1112,1,malware
0167ea5ca4abe42d46f219fffec345405e1d6b0236bb5a459a2aa8e03c3ccfc4,1702,2431,827,49,1504,0.00084,0.000748,0.013382,1.4283,1.4283,187,2,276,146,0.485899,1.42832,0.883666,0.162162,1,malware
01d0e446e44b68d9b405c9abfc26c6e6768bf3c10505ed202fee45ee30a0027f,2353,2298,615,335,2174,0.000415,2e-05,0.001833,0.9766,0.9766,86,2,797,591,0.261368,0.976626,0.923927,0.338717,1,malware
029828d7788b0f6b1c50a16ae051dee0d289457423b90775e3c1c5c09943b7a0,7183,11824,4677,18,6099,0.000229,0.000206,0.019218,1.6461,1.6461,191,32,862,196,0.651121,1.646109,0.849088,0.120006,1,malware
02bc3796497ac7b647ed205fa591ab52e08e57acf1e2e7c661c3c372d2d7d144,1702,2431,827,49,1504,0.00084,0.00054,0.007818,1.4283,1.4283,187,2,276,146,0.485899,1.42832,0.883666,0.162162,1,malware
0405447f7ccb3cc05face53debd0ef761a49409e1a75c7136ecf3cdb32fbc5b3,2019,1974,529,287,1876,0.000484,3.7e-05,0.003862,0.9777,0.9777,74,2,688,506,0.262011,0.977712,0.929173,0.340763,1,malware
04c367a745c43d104df949359a51e9f582a563c283db67354612cb3522deda05,2454,2263,595,393,2407,0.000376,1e-06,0.000159,0.9222,0.9222,84,2,922,653,0.242461,0.922168,0.980848,0.375713,1,malware
04f94bfbe794a697bb3701cd7edb16d26ef1ae92c3417dfc9591b1b0efc23d23,8358,13778,5440,10,6733,0.000197,0.000344,0.022181,1.6485,1.6485,175,32,963,189,0.650873,1.64848,0.805575,0.115219,1,malware
055ec3aab61bc290f346dfd405777c516c113294b7e2ad80d97eca2daef85a25,2329,2148,571,376,2250,0.000396,1e-06,0.000117,0.9223,0.9223,51,2,812,601,0.24517,0.922284,0.96608,0.348647,1,malware
05dcc91647facc64f928e5264afba7c7ddabd0b90edb7992834f9a36e9af33a2,156,189,51,9,131,0.007816,0.002486,0.018693,1.2115,1.2115,4,2,32,24,0.326923,1.211538,0.839744,0.205128,1,malware
0607509b88fdc1a05b370bd86e09a8b5cd31273c57fbf3b1305083349b206749,2844,4300,1588,66,2297,0.000532,0.000907,0.041672,1.512,1.512,145,8,488,165,0.558368,1.511955,0.807665,0.171589,1,malware
064b4784707ae37273151a8b5aa13c632d6fee5fd7054ac2bdb822eb1df54236,2364,2356,602,305,2186,0.000422,0.000196,0.005906,0.9966,0.9966,47,2,751,509,0.254653,0.996616,0.924704,0.317682,1,malware
08d67c42e79df37a11a7a909e3ad9de50f21d332984d372a6c9387c1f38131f3,2456,2265,595,393,2409,0.000376,1e-06,9.8e-05,0.9222,0.9222,84,2,923,653,0.242264,0.922231,0.980863,0.375814,1,malware
09462cc5e996bb724e64fd7a5bf23226e6e24d215bb5a5ade15640b1c3206ab1,12222,19628,7462,28,10449,0.000131,0.000109,0.010296,1.606,1.606,183,32,1653,245,0.610538,1.605956,0.854934,0.135248,1,malware
